QtlID	TraitOriginalName	TraitAnnotation	TraitAnnotationID	Property	ProAnnotation	ProAnnotationID	ActualProValue	pmcId	tableId
PMC4321030_TABLE 2_72	Plant size	plant size	http://purl.obolibrary.org/obo/SP_0000002	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_73	Plant size	plant size	http://purl.obolibrary.org/obo/SP_0000002	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 4_0_1	Maturity	Maturity		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_2	Maturity	Maturity		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_3	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At4g10050	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_4	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	cLEX4G10-C2_At5g04590	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_5	Fruit size /shape	fruit size	http://purl.obolibrary.org/obo/TO_0002625	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_6	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_7	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_8	Plant architecture	Plant architecture		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_9	Plant architecture	Plant architecture		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_10	DAP1st	DAP1st		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_11	DAP1st	DAP1st		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_12	DAP50	DAP50		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_13	DAP50	DAP50		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_14	YLD	YLD		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At4g10050	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_15	YLD	YLD		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	cLEX4G10-C2_At5g04590	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_16	FH	FH		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_17	FH	FH		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_18	FW	plant fresh weight	http://purl.obolibrary.org/obo/TO_0000442	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_19	FW	plant fresh weight	http://purl.obolibrary.org/obo/TO_0000442	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_20	FS	FS		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At5g04590	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_21	FS	FS		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At2g14260-TG400	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_22	FP	FP		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_23	FP	FP		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_24	30Wt	30Wt		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At5g04590	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_25	30Wt	30Wt		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At1g44790-TG400	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_26	SW	SW		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_27	SW	SW		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_28	Brix	Brix		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_29	Brix	Brix		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_30	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At5g16710	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_31	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At2g22570-U340899	PMC4321030	PMC4321030_TABLE 4_0
PMC4321030_TABLE 4_0_32	CD	CD		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 4_0
