entity_uri ,entity_name 
http://purl.obolibrary.org/obo/PO_0025369 ,seed trichome development stage 
http://purl.obolibrary.org/obo/PO_0020004 ,anther wall exothecium 
http://purl.obolibrary.org/obo/PO_0006315 ,lower floret of sessile spikelet of tassel 
http://purl.obolibrary.org/obo/PO_0009072 ,plant ovary 
http://purl.obolibrary.org/obo/PO_0000263 ,non-hair root epidermal cell 
http://purl.obolibrary.org/obo/PO_0025105 ,third order inflorescence branch 
http://purl.obolibrary.org/obo/PO_0005669 ,oil gland 
http://purl.obolibrary.org/obo/PO_0003000 ,transition zone 
http://purl.obolibrary.org/obo/PO_0009019 ,obsolete basal endosperm transfer layer 
http://purl.obolibrary.org/obo/PO_0025518 ,leaf lamina tooth 
http://purl.obolibrary.org/obo/PO_0008026 ,petiole distal end 
http://purl.obolibrary.org/obo/PO_0025280 ,microgametophyte 
http://purl.obolibrary.org/obo/PO_0000229 ,flower meristem 
http://purl.obolibrary.org/obo/PO_0006067 ,cambium-like transitional zone 
http://purl.obolibrary.org/obo/PO_0007618 ,carpel primordium visible stage 
http://purl.obolibrary.org/obo/PO_0005661 ,salt gland 
http://purl.obolibrary.org/obo/PO_0000284 ,subsidiary cell 
http://purl.obolibrary.org/obo/PO_0007624 ,B meiosis of megaspore mother cell stage 
http://purl.obolibrary.org/obo/PO_0007070 ,SE.08 eight nodes or internodes visible stage 
http://purl.obolibrary.org/obo/PO_0007501 ,root cap formation stage 
http://purl.obolibrary.org/obo/PO_0025428 ,phyllome plate meristem 
http://purl.obolibrary.org/obo/PO_0007048 ,IE.01 1/4 of inflorescence emerged from flag leaf sheath stage 
http://purl.obolibrary.org/obo/PO_0001380 ,sepals enclosing flower bud stage 
http://purl.obolibrary.org/obo/PO_0025564 ,megasporangium tapetum cell 
http://purl.obolibrary.org/obo/PO_0006071 ,petal mesophyll 
http://purl.obolibrary.org/obo/PO_0025568 ,root system xylem sap 
http://purl.obolibrary.org/obo/PO_0006342 ,infructescence 
http://purl.obolibrary.org/obo/PO_0006502 ,floral organ abscission zone 
http://purl.obolibrary.org/obo/PO_0025042 ,subterranean tuber axillary vegetative bud 
http://purl.obolibrary.org/obo/PO_0006004 ,upper glume 
http://purl.obolibrary.org/obo/PO_0030034 ,archegoniophore 
http://purl.obolibrary.org/obo/PO_0025180 ,plant axis elongation zone 
http://purl.obolibrary.org/obo/PO_0001180 ,plant proembryo stage 
http://purl.obolibrary.org/obo/PO_0025074 ,embryo sac 
http://purl.obolibrary.org/obo/PO_0025151 ,tepal tip 
http://purl.obolibrary.org/obo/PO_0025572 ,vascular leaf primordium polarity determination stage 
http://purl.obolibrary.org/obo/PO_0025318 ,axillary hair base 
http://purl.obolibrary.org/obo/PO_0000258 ,root cortex 
http://purl.obolibrary.org/obo/PO_0005032 ,megasporangiate strobilus 
http://purl.obolibrary.org/obo/PO_0006312 ,tassel pedicellate spikelet 
http://purl.obolibrary.org/obo/PO_0025478 ,androecium primordium 
http://purl.obolibrary.org/obo/PO_0006055 ,sepal adaxial epidermis 
http://purl.obolibrary.org/obo/PO_0004527 ,ray secondary xylem parenchyma cell 
http://purl.obolibrary.org/obo/PO_0001041 ,chalazal and micropylar domain establishment stage 
http://purl.obolibrary.org/obo/PO_0020105 ,ligule 
http://purl.obolibrary.org/obo/PO_0025117 ,plant anatomical space 
http://purl.obolibrary.org/obo/PO_0006388 ,upper glume of pedicellate spikelet of tassel 
http://purl.obolibrary.org/obo/PO_0025471 ,seedling cotyledon 
http://purl.obolibrary.org/obo/PO_0004712 ,axillary vegetative bud 
http://purl.obolibrary.org/obo/PO_0020036 ,epiblast 
http://purl.obolibrary.org/obo/PO_0005021 ,sepal margin 
http://purl.obolibrary.org/obo/PO_0007057 ,seed germination stage 
http://purl.obolibrary.org/obo/PO_0000115 ,socket cell 
http://purl.obolibrary.org/obo/PO_0025020 ,stamen margin 
http://purl.obolibrary.org/obo/PO_0025256 ,lateral root elongation zone 
http://purl.obolibrary.org/obo/PO_0000064 ,xylem pole pericycle cell 
http://purl.obolibrary.org/obo/PO_0025139 ,phyllome apex 
http://purl.obolibrary.org/obo/PO_0009070 ,obsolete pollen sac 
http://purl.obolibrary.org/obo/PO_0030012 ,vascular leaf meristematic apical cell 
http://purl.obolibrary.org/obo/PO_0025134 ,inflorescence branch crown 
http://purl.obolibrary.org/obo/PO_0007092 ,SE.04 four nodes or internodes visible stage 
http://purl.obolibrary.org/obo/PO_0006324 ,central spike of tassel inflorescence 
http://purl.obolibrary.org/obo/PO_0025508 ,fruit size 70% to final size stage 
http://purl.obolibrary.org/obo/PO_0025513 ,organ lamina 
http://purl.obolibrary.org/obo/PO_0009021 ,meristem L2 layer 
http://purl.obolibrary.org/obo/PO_0008009 ,abaxial nucellar projection 
http://purl.obolibrary.org/obo/PO_0007509 ,root vascular cylinder differentiation stage 
http://purl.obolibrary.org/obo/PO_0025025 ,root system 
http://purl.obolibrary.org/obo/PO_0025155 ,bract base 
http://purl.obolibrary.org/obo/PO_0003021 ,central root cap of primary root 
http://purl.obolibrary.org/obo/PO_0025193 ,tepal adaxial epidermis 
http://purl.obolibrary.org/obo/PO_0006202 ,interfascicular region 
http://purl.obolibrary.org/obo/PO_0025129 ,petiole lamina 
http://purl.obolibrary.org/obo/PO_0007115 ,LP.04 four leaves visible stage 
http://purl.obolibrary.org/obo/PO_0006331 ,seed raphe 
http://purl.obolibrary.org/obo/PO_0025345 ,gametophore vegetative whole plant development stage 
http://purl.obolibrary.org/obo/PO_0025138 ,fused collective tepal structure 
http://purl.obolibrary.org/obo/PO_0020047 ,microsporocyte 
http://purl.obolibrary.org/obo/PO_0007036 ,beginning of whole plant fruit ripening stage 
http://purl.obolibrary.org/obo/PO_0009109 ,ear meristem 
http://purl.obolibrary.org/obo/PO_0004001 ,bulliform cell 
http://purl.obolibrary.org/obo/PO_0003014 ,obsolete lateral root elongation zone 
