 "entity_uri" , "entity_name" , "syn" ,
 "http://purl.obolibrary.org/obo/PO_0007062" , "SE.06 six nodes or internodes visible stage" , "4.07-sixth node detectable in barley" ,
 "http://purl.obolibrary.org/obo/PO_0007062" , "SE.06 six nodes or internodes visible stage" , "4.07-sixth node detectable in wheat" ,
 "http://purl.obolibrary.org/obo/PO_0007062" , "SE.06 six nodes or internodes visible stage" , "BBCH growth stage 36" ,
 "http://purl.obolibrary.org/obo/PO_0007062" , "SE.06 six nodes or internodes visible stage" , "Zadok scale-36" ,
 "http://purl.obolibrary.org/obo/PO_0007062" , "SE.06 six nodes or internodes visible stage" , "3.06 6 nodes/internodes visible in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007062" , "SE.06 six nodes or internodes visible stage" , "3.2 late whorl stage" ,
 "http://purl.obolibrary.org/obo/PO_0007118" , "2.06 main shoot and axillary shoots visible at six nodes stage" , "main shoot and six tillers in barley" ,
 "http://purl.obolibrary.org/obo/PO_0007118" , "2.06 main shoot and axillary shoots visible at six nodes stage" , "sixth axillary shoot detectable" ,
 "http://purl.obolibrary.org/obo/PO_0007118" , "2.06 main shoot and axillary shoots visible at six nodes stage" , "sixth tiller detectable" ,
 "http://purl.obolibrary.org/obo/PO_0007118" , "2.06 main shoot and axillary shoots visible at six nodes stage" , "main shoot and 6 tillers" ,
 "http://purl.obolibrary.org/obo/PO_0007118" , "2.06 main shoot and axillary shoots visible at six nodes stage" , "Zadok scale-26, Feekes scale-3" ,
 "http://purl.obolibrary.org/obo/PO_0007118" , "2.06 main shoot and axillary shoots visible at six nodes stage" , "3.07-main shoot and six tillers" ,
 "http://purl.obolibrary.org/obo/PO_0007118" , "2.06 main shoot and axillary shoots visible at six nodes stage" , "2.06 Main shoot and axillary shoots visible at 6 nodes in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007118" , "2.06 main shoot and axillary shoots visible at six nodes stage" , "main shoot and six tillers in wheat" ,
 "http://purl.obolibrary.org/obo/PO_0007118" , "2.06 main shoot and axillary shoots visible at six nodes stage" , "2.06 main shoot and axillary shoots visible at six nodes in Solanaceae" ,
 "http://purl.obolibrary.org/obo/PO_0007118" , "2.06 main shoot and axillary shoots visible at six nodes stage" , "main shoot and six tillers in oat" ,
 "http://purl.obolibrary.org/obo/PO_0007118" , "2.06 main shoot and axillary shoots visible at six nodes stage" , "BBCH growth stage 26" ,
 "http://purl.obolibrary.org/obo/PO_0020099" , "microgametophyte vegetative cell" , "tube cell" ,
 "http://purl.obolibrary.org/obo/PO_0007133" , "leaf production stage" , "1 seedling" ,
 "http://purl.obolibrary.org/obo/PO_0007133" , "leaf production stage" , "leaf production in Solanaceae" ,
 "http://purl.obolibrary.org/obo/PO_0005669" , "oil gland" , "oil cavity" ,
